Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Neon,LEV,https://www.vlr.gg/player/29243/neon,Americas,706349,all,,bo3,1.35,225.0,49,33,14,82%,149.0,25%,5.0,1.0,1.48
Sato,LEV,https://www.vlr.gg/player/21659/sato,Americas,706349,all,,bo3,1.13,265.0,50,47,20,70%,175.0,46%,6.0,6.0,1.06
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,706349,all,,bo3,0.96,164.0,33,35,18,71%,114.0,33%,5.0,3.0,0.94
blowz,LEV,https://www.vlr.gg/player/21251/blowz,Americas,706349,all,,bo3,0.89,149.0,30,38,19,71%,107.0,28%,3.0,2.0,0.79
spike,LEV,https://www.vlr.gg/player/21661/spike,Americas,706349,all,,bo3,0.71,186.0,36,45,10,68%,126.0,27%,11.0,14.0,0.8
basic,FUR,https://www.vlr.gg/player/37354/basic,Americas,706349,all,,bo3,1.3,238.0,46,35,27,79%,140.0,23%,5.0,3.0,1.31
eeiu,FUR,https://www.vlr.gg/player/796/eeiu,Americas,706349,all,,bo3,1.17,225.0,45,36,25,84%,146.0,20%,4.0,2.0,1.25
Shyy,FUR,https://www.vlr.gg/player/24007/shyy,Americas,706349,all,,bo3,1.04,211.0,41,40,10,75%,140.0,36%,5.0,3.0,1.02
koalanoob,FUR,https://www.vlr.gg/player/3722/koalanoob,Americas,706349,all,,bo3,0.88,208.0,37,43,7,70%,137.0,24%,10.0,8.0,0.86
artzin,FUR,https://www.vlr.gg/player/5957/artzin,Americas,706349,all,,bo3,0.57,160.0,29,44,19,70%,117.0,20%,2.0,14.0,0.66
Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,Americas,706350,all,,bo3,1.2,211.0,58,46,22,77%,140.0,45%,10.0,7.0,1.26
cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,Americas,706350,all,,bo3,1.19,256.0,61,47,23,75%,153.0,29%,8.0,7.0,1.3
Marved,SEN,https://www.vlr.gg/player/263/marved,Americas,706350,all,,bo3,1.0,172.0,41,45,32,77%,114.0,33%,3.0,7.0,0.91
JonahP,SEN,https://www.vlr.gg/player/4581/jonahp,Americas,706350,all,,bo3,0.97,168.0,42,43,19,72%,116.0,21%,2.0,8.0,0.98
Jerrwin,SEN,https://www.vlr.gg/player/34057/jerrwin,Americas,706350,all,,bo3,0.94,180.0,47,50,15,66%,118.0,23%,9.0,9.0,0.94
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,706350,all,,bo3,1.1,211.0,55,48,27,73%,144.0,37%,8.0,4.0,1.15
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,706350,all,,bo3,1.01,221.0,57,55,8,72%,146.0,21%,14.0,17.0,1.04
Jackk,C9,https://www.vlr.gg/player/44842/jackk,Americas,706350,all,,bo3,0.87,142.0,35,49,24,76%,96.0,28%,5.0,1.0,0.71
FireBallOps,C9,https://www.vlr.gg/player/10053/fireballops,Americas,706350,all,,bo3,0.86,175.0,44,51,19,70%,114.0,44%,8.0,4.0,0.86
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Americas,706350,all,,bo3,0.73,144.0,40,50,20,72%,99.0,24%,4.0,7.0,0.8
yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,EMEA,712803,all,,bo3,1.05,220.0,30,32,15,71%,158.0,36%,2.0,2.0,0.94
KROSTALY,FUT,https://www.vlr.gg/player/15735/krostaly,EMEA,712803,all,,bo3,0.95,181.0,27,29,8,76%,115.0,38%,4.0,2.0,0.93
xeus,FUT,https://www.vlr.gg/player/12793/xeus,EMEA,712803,all,,bo3,0.91,200.0,30,31,3,56%,140.0,35%,1.0,4.0,0.97
sociablEE,FUT,https://www.vlr.gg/player/5568/sociablee,EMEA,712803,all,,bo3,0.79,186.0,27,34,12,61%,122.0,22%,3.0,9.0,0.79
s0pp,FUT,https://www.vlr.gg/player/39357/s0pp,EMEA,712803,all,,bo3,0.74,175.0,23,37,8,63%,126.0,27%,8.0,6.0,0.62
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,712803,all,,bo3,1.39,280.0,42,25,14,80%,175.0,31%,3.0,2.0,1.68
CyvOph,NAVI,https://www.vlr.gg/player/13258/cyvoph,EMEA,712803,all,,bo3,1.17,187.0,26,23,21,68%,136.0,28%,2.0,3.0,1.13
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,712803,all,,bo3,1.08,260.0,37,32,9,78%,162.0,22%,10.0,7.0,1.16
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,712803,all,,bo3,1.07,205.0,31,29,20,73%,133.0,37%,3.0,3.0,1.07
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,712803,all,,bo3,0.93,173.0,27,28,12,80%,107.0,25%,5.0,3.0,0.96
kamo,TL,https://www.vlr.gg/player/14681/kamo,EMEA,712804,all,,bo3,0.88,232.0,28,31,7,68%,149.0,34%,3.0,8.0,0.9
Kicks,TL,https://www.vlr.gg/player/11134/kicks,EMEA,712804,all,,bo3,0.74,168.0,18,30,8,65%,113.0,28%,0.0,2.0,0.6
purp0,TL,https://www.vlr.gg/player/1885/purp0,EMEA,712804,all,,bo3,0.72,145.0,20,29,4,56%,95.0,34%,4.0,6.0,0.69
trexx,TL,https://www.vlr.gg/player/2168/trexx,EMEA,712804,all,,bo3,0.71,162.0,17,31,15,65%,113.0,22%,1.0,3.0,0.55
LohaN,TL,https://www.vlr.gg/player/2881/lohan,EMEA,712804,all,,bo3,0.52,114.0,13,29,3,56%,84.0,22%,2.0,5.0,0.45
Favian,EF,https://www.vlr.gg/player/41720/favian,EMEA,712804,all,,bo3,1.55,321.0,40,22,8,74%,224.0,38%,7.0,4.0,1.82
audaz,EF,https://www.vlr.gg/player/40843/audaz,EMEA,712804,all,,bo3,1.23,177.0,22,17,16,79%,118.0,46%,4.0,1.0,1.29
echo,EF,https://www.vlr.gg/player/49346/echo,EMEA,712804,all,,bo3,1.22,238.0,31,22,8,82%,166.0,33%,5.0,2.0,1.41
Izzy,EF,https://www.vlr.gg/player/10160/izzy,EMEA,712804,all,,bo3,1.21,236.0,31,17,8,85%,122.0,17%,7.0,2.0,1.82
nekky,EF,https://www.vlr.gg/player/12670/nekky,EMEA,712804,all,,bo3,1.2,207.0,26,18,9,76%,152.0,30%,1.0,1.0,1.44
Cloud,FNC,https://www.vlr.gg/player/4181/cloud,EMEA,712805,all,,bo3,1.35,242.0,41,30,24,80%,156.0,21%,3.0,1.0,1.37
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,EMEA,712805,all,,bo3,1.18,262.0,46,35,7,74%,166.0,30%,9.0,8.0,1.31
crashies,FNC,https://www.vlr.gg/player/4/crashies,EMEA,712805,all,,bo3,1.07,192.0,34,30,12,72%,133.0,19%,5.0,5.0,1.13
kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,EMEA,712805,all,,bo3,0.87,185.0,32,37,8,64%,129.0,38%,7.0,6.0,0.86
Boaster,FNC,https://www.vlr.gg/player/438/boaster,EMEA,712805,all,,bo3,0.86,157.0,29,33,17,76%,99.0,24%,1.0,5.0,0.88
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,712805,all,,bo3,1.1,249.0,42,36,11,70%,153.0,43%,3.0,6.0,1.17
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,712805,all,,bo3,1.05,253.0,45,40,4,64%,156.0,29%,11.0,4.0,1.12
Jesse,GX,https://www.vlr.gg/player/2653/jesse,EMEA,712805,all,,bo3,0.97,192.0,33,35,15,70%,139.0,26%,3.0,5.0,0.94
neT,GX,https://www.vlr.gg/player/6582/net,EMEA,712805,all,,bo3,0.83,163.0,27,37,11,66%,106.0,30%,4.0,3.0,0.73
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,712805,all,,bo3,0.66,111.0,18,34,19,64%,77.0,33%,4.0,7.0,0.53
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,712806,all,,bo3,1.11,225.0,43,39,15,68%,143.0,33%,5.0,6.0,1.1
waddle,PCF,https://www.vlr.gg/player/8226/waddle,EMEA,712806,all,,bo3,1.08,212.0,37,39,17,68%,150.0,31%,0.0,4.0,0.95
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,712806,all,,bo3,0.83,191.0,37,42,8,64%,124.0,41%,6.0,5.0,0.88
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,712806,all,,bo3,0.79,115.0,21,35,21,64%,68.0,23%,4.0,7.0,0.6
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,712806,all,,bo3,0.73,185.0,34,45,9,72%,121.0,24%,4.0,12.0,0.76
Minny,M8,https://www.vlr.gg/player/23169/minny,EMEA,712806,all,,bo3,1.3,267.0,52,35,10,79%,171.0,30%,8.0,4.0,1.49
marteen,M8,https://www.vlr.gg/player/10307/marteen,EMEA,712806,all,,bo3,1.15,244.0,45,39,20,79%,155.0,30%,9.0,5.0,1.15
Proxh,M8,https://www.vlr.gg/player/45494/proxh,EMEA,712806,all,,bo3,1.05,177.0,38,32,14,77%,119.0,31%,2.0,6.0,1.19
bipo,M8,https://www.vlr.gg/player/18400/bipo,EMEA,712806,all,,bo3,1.01,195.0,37,34,10,74%,129.0,28%,10.0,2.0,1.09
starxo,M8,https://www.vlr.gg/player/565/starxo,EMEA,712806,all,,bo3,0.84,143.0,28,32,11,70%,95.0,32%,5.0,2.0,0.88
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,698884,all,,bo3,1.48,277.0,52,29,16,80%,182.0,44%,4.0,0.0,1.79
