Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
happywei,XLG,https://www.vlr.gg/player/37927/happywei,International,684613,all,,bo3,1.0,210,34,33,6,74%,137,33%,6,1,1.03
NoMan,XLG,https://www.vlr.gg/player/11527/noman,International,684613,all,,bo3,0.89,192,27,30,8,65%,111,34%,5,7,0.9
Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,International,684613,all,,bo3,0.85,167,26,33,19,72%,113,23%,2,1,0.79
WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,International,684613,all,,bo3,0.85,191,26,34,17,70%,133,21%,4,7,0.76
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,International,684613,all,,bo3,0.82,160,25,31,12,74%,101,41%,4,5,0.81
keiko,NRG,https://www.vlr.gg/player/11494/keiko,International,684613,all,,bo3,1.85,370,60,29,8,79%,230,31%,7,1,2.07
brawk,NRG,https://www.vlr.gg/player/2172/brawk,International,684613,all,,bo3,1.01,194,24,26,21,72%,143,17%,2,1,0.92
skuba,NRG,https://www.vlr.gg/player/11118/skuba,International,684613,all,,bo3,0.91,145,20,25,17,72%,101,20%,2,3,0.8
mada,NRG,https://www.vlr.gg/player/5132/mada,International,684613,all,,bo3,0.89,184,30,27,8,70%,122,25%,6,8,1.11
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,International,684613,all,,bo3,0.85,184,27,31,15,74%,117,21%,4,8,0.87
Derke,VIT,https://www.vlr.gg/player/5022/derke,International,684610,all,,bo3,1.41,285,37,20,5,74%,180,37%,11,5,1.85
Sayonara,VIT,https://www.vlr.gg/player/33902/sayonara,International,684610,all,,bo3,1.37,302,36,21,9,76%,193,28%,5,1,1.71
PROFEK,VIT,https://www.vlr.gg/player/5554/profek,International,684610,all,,bo3,1.3,201,28,16,10,74%,130,32%,4,0,1.75
Chronicle,VIT,https://www.vlr.gg/player/458/chronicle,International,684610,all,,bo3,1.22,183,26,14,7,82%,124,23%,1,2,1.86
